IndicatorCode,Indicator_c,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,KEN,Kenya,Year,2022,TRUE,,,,,,,,,,,,,0.16,,,,,,0.164,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2022,TRUE,,,,,,,,,,,,,0.18,,,,,,0.179,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,SEN,Senegal,Year,2022,TRUE,,,,,,,,,,,,,0.2,,,,,,0.203,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,CMR,Cameroon,Year,2022,TRUE,,,,,,,,,,,,,0.22,,,,,,0.216,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2022,TRUE,,,,,,,,,,,,,0.25,,,,,,0.254,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2022,TRUE,,,,,,,,,,,,,0.27,,,,,,0.267,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2022,TRUE,,,,,,,,,,,,,0.27,,,,,,0.269,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,AGO,Angola,Year,2022,TRUE,,,,,,,,,,,,,0.27,,,,,,0.272,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,BEN,Benin,Year,2022,TRUE,,,,,,,,,,,,,0.29,,,,,,0.286,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,TGO,Togo,Year,2022,TRUE,,,,,,,,,,,,,0.29,,,,,,0.288,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ZMB,Zambia,Year,2022,TRUE,,,,,,,,,,,,,0.32,,,,,,0.319,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,TRUE,,,,,,,,,,,,,0.32,,,,,,0.321,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,GHA,Ghana,Year,2022,TRUE,,,,,,,,,,,,,0.36,,,,,,0.355,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,UGA,Uganda,Year,2022,TRUE,,,,,,,,,,,,,0.36,,,,,,0.362,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2022,TRUE,,,,,,,,,,,,,0.39,,,,,,0.388,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2022,TRUE,,,,,,,,,,,,,0.41,,,,,,0.413,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,BWA,Botswana,Year,2022,TRUE,,,,,,,,,,,,,0.48,,,,,,0.475,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,TRUE,,,,,,,,,,,,,0.48,,,,,,0.476,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ERI,Eritrea,Year,2022,TRUE,,,,,,,,,,,,,0.54,,,,,,0.54,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ZAF,South Africa,Year,2022,TRUE,,,,,,,,,,,,,0.6,,,,,,0.603,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,URY,Uruguay,Year,2022,TRUE,,,,,,,,,,,,,0.64,,,,,,0.643,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,TRUE,,,,,,,,,,,,,0.68,,,,,,0.677,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,GAB,Gabon,Year,2022,TRUE,,,,,,,,,,,,,0.7,,,,,,0.703,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,MLI,Mali,Year,2022,TRUE,,,,,,,,,,,,,0.76,,,,,,0.762,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,NGA,Nigeria,Year,2022,TRUE,,,,,,,,,,,,,0.84,,,,,,0.836,,Value obtained from Licensed to Practice,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,LSO,Lesotho,Year,2022,TRUE,,,,,,,,,,,,,0.87,,,,,,0.872,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,GEO,Georgia,Year,2022,TRUE,,,,,,,,,,,,,0.94,,,,,,0.935,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2022,TRUE,,,,,,,,,,,,,1.16,,,,,,1.157,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2022,TRUE,,,,,,,,,,,,,1.17,,,,,,1.165,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,SLV,El Salvador,Year,2022,TRUE,,,,,,,,,,,,,1.24,,,,,,1.236,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,PER,Peru,Year,2022,TRUE,,,,,,,,,,,,,1.51,,,,,,1.506,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2022,TRUE,,,,,,,,,,,,,1.52,,,,,,1.518,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CAN,Canada,Year,2022,TRUE,,,,,,,,,,,,,10.41,,,,,,10.406,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,HRV,Croatia,Year,2022,TRUE,,,,,,,,,,,,,10.61,,,,,,10.607,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,ISL,Iceland,Year,2022,TRUE,,,,,,,,,,,,,11.16,,,,,,11.156,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,IRL,Ireland,Year,2022,TRUE,,,,,,,,,,,,,11.38,,,,,,11.381,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CRI,Costa Rica,Year,2022,TRUE,,,,,,,,,,,,,11.86,,,,,,11.855,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,TRUE,,,,,,,,,,,,,13.29,,,,,,13.287,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,MNE,Montenegro,Year,2022,TRUE,,,,,,,,,,,,,2.38,,,,,,2.376,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,NAM,Namibia,Year,2022,TRUE,,,,,,,,,,,,,2.55,,,,,,2.552,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,BEL,Belgium,Year,2022,TRUE,,,,,,,,,,,,,20.73,,,,,,20.728,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AFR,Africa,Country,SYC,Seychelles,Year,2022,TRUE,,,,,,,,,,,,,3.27,,,,,,3.268,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,ARG,Argentina,Year,2022,TRUE,,,,,,,,,,,,,4.88,,,,,,4.88,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2022,TRUE,,,,,,,,,,,,,5.41,,,,,,5.411,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2022,TRUE,,,,,,,,,,,,,6.13,,,,,,6.129,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,CHL,Chile,Year,2022,TRUE,,,,,,,,,,,,,6.67,,,,,,6.667,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2022,TRUE,,,,,,,,,,,,,6.71,,,,,,6.706,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2022,TRUE,,,,,,,,,,,,,7.01,,,,,,7.014,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2022,TRUE,,,,,,,,,,,,,7.24,,,,,,7.242,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,ISR,Israel,Year,2022,TRUE,,,,,,,,,,,,,7.52,,,,,,7.524,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,BLZ,Belize,Year,2022,TRUE,,,,,,,,,,,,,7.65,,,,,,7.649,,,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,AUT,Austria,Year,2022,TRUE,,,,,,,,,,,,,7.73,,,,,,7.733,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,TRUE,,,,,,,,,,,,,8.83,,,,,,8.829,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2022,TRUE,,,,,,,,,,,,,8.97,,,,,,8.966,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2022,TRUE,,,,,,,,,,,,,9.06,,,,,,9.057,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,TRUE,,,,,,,,,,,,,9.35,,,,,,9.349,,Value obtained from Licensed to Practice,EN,2024-05-19T14:00:00.000Z
HWF_0014,"Pharmacists  (per 10,000)",numeric,AMR,Americas,Country,USA,United States of America,Year,2022,TRUE,,,,,,,,,,,,,9.62,,,,,,9.621,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,TRUE,,,,,,,,,,,,,111,,,,,,111,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2022,TRUE,,,,,,,,,,,,,1162,,,,,,1162,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,GHA,Ghana,Year,2022,TRUE,,,,,,,,,,,,,1188,,,,,,1188,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,BWA,Botswana,Year,2022,TRUE,,,,,,,,,,,,,125,,,,,,125,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,CHL,Chile,Year,2022,TRUE,,,,,,,,,,,,,13070,,,,,,13 070,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2022,TRUE,,,,,,,,,,,,,14,,,,,,14,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,MNE,Montenegro,Year,2022,TRUE,,,,,,,,,,,,,149,,,,,,149,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2022,TRUE,,,,,,,,,,,,,163,,,,,,163,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,LVA,Latvia,Year,2022,TRUE,,,,,,,,,,,,,1634,,,,,,1634,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,GAB,Gabon,Year,2022,TRUE,,,,,,,,,,,,,168,,,,,,168,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,LBR,Liberia,Year,2022,TRUE,,,,,,,,,,,,,170,,,,,,170,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2022,TRUE,,,,,,,,,,,,,1704,,,,,,1704,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,UGA,Uganda,Year,2022,TRUE,,,,,,,,,,,,,1712,,,,,,1712,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MLI,Mali,Year,2022,TRUE,,,,,,,,,,,,,1721,,,,,,1721,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2022,TRUE,,,,,,,,,,,,,1746,,,,,,1746,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2022,TRUE,,,,,,,,,,,,,1771,,,,,,1771,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2022,TRUE,,,,,,,,,,,,,18277,,,,,,18 277,,Value obtained from Licensed to Practice,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,ZWE,Zimbabwe,Year,2022,TRUE,,,,,,,,,,,,,1902,,,,,,1902,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,ERI,Eritrea,Year,2022,TRUE,,,,,,,,,,,,,199,,,,,,199,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2022,TRUE,,,,,,,,,,,,,2,,,,,,2,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,LSO,Lesotho,Year,2022,TRUE,,,,,,,,,,,,,201,,,,,,201,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,ARG,Argentina,Year,2022,TRUE,,,,,,,,,,,,,22207,,,,,,22 207,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,URY,Uruguay,Year,2022,TRUE,,,,,,,,,,,,,220,,,,,,220,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2022,TRUE,,,,,,,,,,,,,23,,,,,,23,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,BEL,Belgium,Year,2022,TRUE,,,,,,,,,,,,,24160,,,,,,24 160,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,TGO,Togo,Year,2022,TRUE,,,,,,,,,,,,,255,,,,,,255,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2022,TRUE,,,,,,,,,,,,,27,,,,,,27,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2022,TRUE,,,,,,,,,,,,,27270,,,,,,27 270,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,COG,Congo,Year,2022,TRUE,,,,,,,,,,,,,28,,,,,,28,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2022,TRUE,,,,,,,,,,,,,31886,,,,,,31 886,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,BLZ,Belize,Year,2022,TRUE,,,,,,,,,,,,,310,,,,,,310,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,USA,United States of America,Year,2022,TRUE,,,,,,,,,,,,,325480,,,,,,325 480,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2022,TRUE,,,,,,,,,,,,,3314,,,,,,3314,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,TRUE,,,,,,,,,,,,,34040,,,,,,34 040,,Value obtained from Licensed to Practice,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2022,TRUE,,,,,,,,,,,,,35,,,,,,35,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,SYC,Seychelles,Year,2022,TRUE,,,,,,,,,,,,,35,,,,,,35,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,GEO,Georgia,Year,2022,TRUE,,,,,,,,,,,,,350,,,,,,350,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,SEN,Senegal,Year,2022,TRUE,,,,,,,,,,,,,352,,,,,,352,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2022,TRUE,,,,,,,,,,,,,3609,,,,,,3609,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2022,TRUE,,,,,,,,,,,,,3637,,,,,,3637,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2022,TRUE,,,,,,,,,,,,,3654,,,,,,3654,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,BEN,Benin,Year,2022,TRUE,,,,,,,,,,,,,382,,,,,,382,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,CAN,Canada,Year,2022,TRUE,,,,,,,,,,,,,40017,,,,,,40 017,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,ISL,Iceland,Year,2022,TRUE,,,,,,,,,,,,,416,,,,,,416,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,HRV,Croatia,Year,2022,TRUE,,,,,,,,,,,,,4275,,,,,,4275,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,NER,Niger,Year,2022,TRUE,,,,,,,,,,,,,43,,,,,,43,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2022,TRUE,,,,,,,,,,,,,4547,,,,,,4547,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2022,TRUE,,,,,,,,,,,,,498,,,,,,498,,Value obtained from Practising,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AMR,Americas,Country,PER,Peru,Year,2022,TRUE,,,,,,,,,,,,,5129,,,,,,5129,,Value obtained from Professionally Active,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,TRUE,,,,,,,,,,,,,53,,,,,,53,,,EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,EUR,Europe,Country,IRL,Ireland,Year,2022,TRUE,,,,,,,,,,,,,5717,,,,,,5717,,"Includes practising pharmacists. Source: OECD Health Statistics, Dataset: Health Care Resources, Accessed on August 8th 2023",EN,2024-05-19T14:00:00.000Z
HWF_0015,Pharmacists  (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2022,TRUE,,,,,,,,,,,,,575,,,,,,575,,,EN,2024-05-19T14:00:00.000Z
