Country_x,Country Code,Sex_x,Year_x,htn,treat,control,diagn,untreatedstage2HTN,Country_y,Income,pop,pop_tot,Indicator_b,Country_b,Year_b,GeoRegion_b,nurse,Indicator_c,Country_c,Year_c,GeoRegion_c,pharma,Indicator_d,Country_d,Year_d,GeoRegion_d,chws_n,Indicator_a,Country_a,Year_a,phy,chws,hw,treatn,controln,diagng,htn2,n_phy,b_phy,pop_htn,pop_htn_visit1,pop_htn_visit2,pop_htn_visit3,phy_s1,phy_s2,phy_s1_i1,phy_s2_i2,phy_s1_c,phy_s2_c,gaps_hf_base_s1,gaps_hf_base_s2,gaps_hf_base_s1_i1,gaps_hf_base_s2_i2,gaps_hf_base_s1_c,gaps_hf_base_s2_c,gaps_hf_6_s1,gaps_hf_6_s2,gaps_hf_3_s1,gaps_hf_3_s2,gaps_hf_6_s1_i1,gaps_hf_6_s2_i2,gaps_hf_3_s1_i1,gaps_hf_3_s2_i2,gaps_hf_6_s1_c,gaps_hf_6_s2_c,gaps_hf_3_s1_c,gaps_hf_3_s2_c,gaps_cat4_base_s1_c
Myanmar,MMR,Men,2019,37.60062095,33.47467775,14.729828,56.47880305,25.453052650000004,Myanmar,Lower middle income,41000000,54800000,"Nursing and midwifery personnel (per 10,000)",Myanmar,2019.0,South-East Asia,11.03,"Pharmacists  (per 10,000)",Myanmar,2019.0,South-East Asia,0.79,Community Health Workers (number),Myanmar,2015.0,South-East Asia,2326.0,Physician per 1000,Myanmar,2019.0,7.51,0.4244525547445255,19.754452554744525,12.586686695011489,5.538506792866966,21.23638065192754,32.06211415713303,12.244452554744528,19.754452554744525,15416254.5895,184995055.074,92497527.537,46248763.7685,12316400.0,6158200.0,20080902.189781025,10040451.094890513,32397302.189781025,16198651.094890513,172678655.074,178836855.074,164914152.884219,174954603.9791095,152597752.884219,168796403.9791095,80181127.537,86339327.537,33932363.7685,40090563.7685,72416625.34721898,82457076.4421095,26167861.57871897,36208312.67360949,60100225.347218975,76298876.4421095,13851461.578718975,30050112.673609488,6
North Korea,PRK,Men,2019,26.65259675,43.11847835,22.6372089,53.64316984999999,16.437088,North Korea,Lower middle income,20500000,26100000,"Nursing and midwifery personnel (per 10,000)",Democratic People's Republic of Korea,2017.0,South-East Asia,44.34,"Pharmacists  (per 10,000)",Democratic People's Republic of Korea,2017.0,South-East Asia,3.96,,,,,,Physician per 1000,North Korea,2017.0,36.71,0.0,85.01,11.492194159361556,6.033404003572112,14.297297744038078,20.61919274642789,48.3,85.01,5463782.33375,65565388.005,32782694.0025,16391347.00125,30102200.0,15051100.0,39606000.00000001,19803000.000000004,69708200.0,34854100.0,35463188.005,50514288.005,25959388.004999995,45762388.005,-4142811.994999997,30711288.005000003,2680494.0025000013,17731594.0025,-13710852.99875,1340247.001250001,-6823305.997500006,12979694.002499998,-23214652.99875001,-3411652.998750003,-36925505.9975,-2071405.997499999,-53316852.99875,-18462752.99875,1
Occupied Palestinian Territory,PSE,Men,2019,39.06432575,48.8797647,19.22529765,51.42604865,12.690167,Occupied Palestinian Territory,Lower middle income,3500000,5400000,"Nursing and midwifery personnel (per 10,000)","occupied Palestinian territory, including east Jerusalem",2018.0,Eastern Mediterranean,19.53,"Pharmacists  (per 10,000)","occupied Palestinian territory, including east Jerusalem",2018.0,Eastern Mediterranean,11.3,,,,,,Physician per 1000,Palestine,2018.0,21.68,0.0,52.510000000000005,19.09455050824151,7.510232900403095,20.08923916498948,31.554092849596906,30.83,52.510000000000005,1367251.40125,16407016.815,8203508.407500001,4101754.20375,3035200.0,1517600.0,4316200.0,2158100.0,7351400.000000002,3675700.000000001,13371816.815,14889416.815,12090816.815,14248916.815,9055616.815,12731316.815,5168308.407500001,6685908.407500001,1066554.2037500003,2584154.2037500003,3887308.4075000007,6045408.407500001,-214445.7962499997,1943654.2037500003,852108.4074999988,4527808.4075,-3249645.796250001,426054.2037499994,3
Oman,OMN,Men,2019,43.5203835,37.6915031,15.6114921,43.3219472,18.97302735,Oman,High income,3000000,5300000,"Nursing and midwifery personnel (per 10,000)",Oman,2022.0,Eastern Mediterranean,48.17,"Pharmacists  (per 10,000)",Oman,2022.0,Eastern Mediterranean,7.24,,,,,,Physician per 1000,Oman,2020.0,19.94,0.0,75.35,16.40348669603439,6.794181231992203,18.85387756110751,36.7262022680078,55.41,75.35,1305611.505,15667338.06,7833669.029999999,3916834.515,2392800.0000000005,1196400.0000000002,6649200.0,3324600.0,9041999.999999998,4520999.999999999,13274538.06,14470938.06,9018138.06,12342738.06,6625338.0600000005,11146338.06,5440869.029999999,6637269.029999999,1524034.5149999992,2720434.515,1184469.029999999,4509069.029999999,-2732365.4850000003,592234.5149999997,-1208330.9699999988,3312669.0300000003,-5125165.484999999,-604165.4849999994,3
Pakistan,PAK,Men,2019,43.1858775,34.5247517,11.23365675,44.118699750000005,21.68526855,Pakistan,Lower middle income,175000000,248600000,"Nursing and midwifery personnel (per 10,000)",Pakistan,2019.0,Eastern Mediterranean,4.69,"Pharmacists  (per 10,000)",Pakistan,2019.0,Eastern Mediterranean,1.51,Community Health Workers (number),Pakistan,2019.0,Eastern Mediterranean,18009.0,Physician per 1000,Pakistan,2019.0,10.84,0.7244167337087691,17.76441673370877,14.909816976341167,4.851353242825481,19.05304762862781,38.33452425717452,6.924416733708769,17.76441673370877,75575285.62499999,906903427.4999998,453451713.7499999,226725856.875,75880000.0,37940000.0,48470917.13596138,24235458.56798069,124350917.1359614,62175458.5679807,831023427.4999998,868963427.4999998,858432510.3640383,882667968.9320191,782552510.3640383,844727968.9320191,377571713.7499999,415511713.7499999,150845856.87499994,188785856.875,404980796.61403847,429216255.1820192,178254939.73903856,202490398.30701923,329100796.61403847,391276255.1820192,102374939.73903854,164550398.30701923,6
Palau,PLW,Men,2019,43.7940895,37.0500455,14.5257184,54.75760935,20.9287178,Palau,High income,20000,18000,"Nursing and midwifery personnel (per 10,000)",Palau,2020.0,Western Pacific,65.0,"Pharmacists  (per 10,000)",Palau,2020.0,Western Pacific,2.78,Community Health Workers (number),Palau,2020.0,Western Pacific,11.0,Physician per 1000,Palau,2020.0,17.78,6.111111111111111,91.67111111111112,16.22573008606072,6.361406116613967,23.980596446799368,37.43268338338604,73.89111111111112,91.67111111111112,8758.8179,105105.8148,52552.9074,26276.4537,14224.0,7112.0,59112.88888888889,29556.444444444445,73336.88888888889,36668.444444444445,90881.8148,97993.8148,45992.9259111111,75549.37035555555,31768.925911111102,68437.37035555555,38328.9074,45440.9074,12052.453699999998,19164.4537,-6559.981488888894,22996.46295555555,-32836.43518888889,-3279.990744444447,-20783.98148888889,15884.462955555551,-47060.43518888889,-10391.990744444449,2
Panama,PAN,Men,2019,36.0483808,54.8149334,28.577041450000003,67.29057975,12.56963355,Panama,High income,2600000,4700000,"Nursing and midwifery personnel (per 10,000)",Panama,2021.0,Americas,37.53,"Pharmacists  (per 10,000)",Panama,2021.0,Americas,2.3,Community Health Workers (number),Panama,2021.0,Americas,158.0,Physician per 1000,Panama,2020.0,16.29,0.3361702127659574,56.456170212765954,19.759895927298388,10.301560723269844,24.25716443080769,25.74682007673016,40.16617021276596,56.456170212765954,937257.9008000002,11247094.809600005,5623547.4048000015,2811773.7024000008,1694159.9999999998,847079.9999999999,4177281.70212766,2088640.8510638296,5871441.70212766,2935720.85106383,9552934.809600005,10400014.809600005,7069813.107472343,9158453.958536174,5375653.107472343,8311373.958536173,3929387.4048000015,4776467.4048000015,1117613.702400001,1964693.7024000008,1446265.7026723418,3534906.553736172,-1365507.999727659,723132.8513361709,-247894.29732765816,2687826.553736172,-3059667.999727659,-123947.14866382908,3
Papua New Guinea,PNG,Men,2019,27.73621885,19.02549365,9.96744025,32.26681995,22.20866775,Papua New Guinea,Lower middle income,4400000,11400000,"Nursing and midwifery personnel (per 10,000)",Papua New Guinea,2021.0,Western Pacific,5.11,"Pharmacists  (per 10,000)",Papua New Guinea,2021.0,Western Pacific,0.079,Community Health Workers (number),Papua New Guinea,2021.0,Western Pacific,6690.0,Physician per 1000,Papua New Guinea,2021.0,0.63,5.868421052631579,11.687421052631578,5.2769525560568535,2.7645910414829875,8.94959579726746,24.971627808517013,11.05742105263158,11.687421052631578,1220393.6294,14644723.5528,7322361.7764,3661180.8882,110880.0,55440.0,1946106.105263158,973053.052631579,2056986.105263158,1028493.052631579,14533843.5528,14589283.5528,12698617.44753684,13671670.50016842,12587737.44753684,13616230.50016842,7211481.7764,7266921.7764,3550300.8882,3605740.8882,5376255.671136842,6349308.7237684205,1715074.782936842,2688127.835568421,5265375.671136842,6293868.7237684205,1604194.782936842,2632687.835568421,4
Paraguay,PRY,Men,2019,56.2505431,38.62164425,13.1835342,55.9548414,20.1395106,Paraguay,Upper middle income,4700000,7600000,"Nursing and midwifery personnel (per 10,000)",Paraguay,2022.0,Americas,93.81,"Pharmacists  (per 10,000)",Paraguay,2022.0,Americas,6.71,Community Health Workers (number),Paraguay,2021.0,Americas,1089.0,Physician per 1000,Paraguay,2021.0,32.42,1.4328947368421052,134.3728947368421,21.72488464477492,7.4158095872742384,31.47490217824364,48.83473351272576,101.9528947368421,134.3728947368421,2643775.5257,31725306.3084,15862653.1542,7931326.577099999,6094960.0,3047480.0,19167144.21052632,9583572.105263157,25262104.21052632,12631052.10526316,25630346.3084,28677826.3084,12558162.097873684,22141734.20313684,6463202.09787368,19094254.20313684,9767693.1542,12815173.1542,1836366.5771,4883846.577099999,-3304491.056326315,6279081.048936842,-11235817.633426314,-1652245.5281631574,-9399451.05632632,3231601.04893684,-17330777.633426316,-4699725.528163159,3
Peru,PER,Men,2019,20.6298896,41.28603715,22.58334205,47.7646041,14.4092108,Peru,Upper middle income,22000000,35000000,"Nursing and midwifery personnel (per 10,000)",Peru,2022.0,Americas,26.55,"Pharmacists  (per 10,000)",Peru,2022.0,Americas,1.51,,,,,,Physician per 1000,Peru,2021.0,16.46,0.0,44.52,8.517263884259988,4.6589185329053775,9.853785093707074,15.970971067094624,28.06,44.52,4538575.712,54462908.544,27231454.272,13615727.136,14484800.0,7242400.0,24692800.0,12346400.0,39177600.00000001,19588800.000000004,39978108.544,47220508.544,29770108.544,42116508.544,15285308.543999992,34874108.544,12746654.272,19989054.272,-869072.8640000001,6373327.136,2538654.272,14885054.272,-11077072.864,1269327.136,-11946145.728000008,7642654.271999996,-25561872.864000008,-5973072.864000004,4
Philippines,PHL,Men,2019,33.72219565,35.48367835,17.132671,52.3903753,20.92962935,Philippines,Lower middle income,75000000,117000000,"Nursing and midwifery personnel (per 10,000)",Philippines,2021.0,Western Pacific,47.55,"Pharmacists  (per 10,000)",Philippines,2021.0,Western Pacific,4.7,Community Health Workers (number),Philippines,2019.0,Western Pacific,248584.0,Physician per 1000,Philippines,2021.0,7.86,21.246495726495727,81.35649572649572,11.96587543700369,5.7775128346908105,17.667184860435274,27.944682815309186,73.49649572649572,81.35649572649572,25291646.7375,303499760.85,151749880.42499998,75874940.21249999,23580000.0,11790000.0,220489487.1794872,110244743.58974355,244069487.1794872,122034743.58974355,279919760.85,291709760.85,83010273.67051283,193255017.2602564,59430273.670512825,181465017.2602564,128169880.42499998,139959880.42499998,52294940.21249999,64084940.21249999,-68739606.75448716,41505136.83525641,-144614546.96698713,-34369803.37724358,-92319606.75448716,29715136.835256413,-168194546.96698713,-46159803.37724358,5
Norway,NOR,Men,2019,30.415798700000003,46.6582742,28.7634328,64.40841415,11.94990385,Norway,High income,4300000,5500000,"Nursing and midwifery personnel (per 10,000)",Norway,2021.0,Europe,188.9,"Pharmacists  (per 10,000)",Norway,2021.0,Europe,9.14,,,,,,Physician per 1000,Norway,2021.0,51.68,0.0,249.72000000000003,14.191486757566038,8.748627819657775,19.59033359372632,21.667170880342223,198.04,249.72000000000003,1307879.3441,15694552.1292,7847276.0646,3923638.0323,8888960.0,4444480.0,34062880.00000001,17031440.000000004,42951840.0,21475920.0,6805592.1292,11250072.1292,-18368327.870800007,-1336887.8708000034,-27257287.8708,-5781367.8708,-1041683.9353999998,3402796.0646,-4965321.9677,-520841.9676999999,-26215603.93540001,-9184163.935400004,-30139241.96770001,-13107801.967700005,-35104563.9354,-13628643.9354,-39028201.9677,-17552281.9677,1
Poland,POL,Men,2019,49.0733933,61.8940789,32.88052815,69.4242767,8.7425129,Poland,High income,28000000,37000000,"Nursing and midwifery personnel (per 10,000)",Poland,2021.0,Europe,63.41,"Pharmacists  (per 10,000)",Poland,2021.0,Europe,7.42,,,,,,Physician per 1000,Poland,2020.0,37.14,0.0,107.97,30.373524768009315,16.13559089816671,34.06884835067125,32.93780240183329,70.83,107.97,13740550.124000002,164886601.48800004,82443300.74400002,41221650.37200001,41596800.0,20798400.0,79329600.0,39664800.0,120926400.0,60463200.0,123289801.48800004,144088201.48800004,85557001.48800004,125221801.48800004,43960201.48800004,104423401.48800004,40846500.74400002,61644900.74400002,-375149.6279999912,20423250.37200001,3113700.7440000176,42778500.74400002,-38107949.62799999,1556850.3720000088,-38483099.25599998,21980100.744000018,-79704749.62799999,-19241549.62799999,5
Mozambique,MOZ,Men,2019,38.103336850000005,14.5389719,7.0340752,28.9516161,36.0510473,Mozambique,Low income,15200000,34900000,"Nursing and midwifery personnel (per 10,000)",Mozambique,2022.0,Africa,5.12,"Pharmacists  (per 10,000)",Mozambique,2022.0,Africa,0.15,Community Health Workers (number),Mozambique,2022.0,Africa,6992.0,Physician per 1000,Mozambique,2021.0,0.81,2.003438395415473,8.083438395415474,5.539833437583845,2.680217367738312,11.031531806101832,35.4231194822617,7.273438395415473,8.083438395415474,5791707.201200001,69500486.41440001,34750243.207200006,17375121.603600003,492480.0,246240.0,4422250.544412607,2211125.272206304,4914730.544412608,2457365.272206304,69008006.41440001,69254246.41440001,65078235.869987406,67289361.1421937,64585755.869987406,67043121.142193705,34257763.207200006,34504003.207200006,16882641.603600003,17128881.603600003,30327992.6627874,32539117.934993703,12952871.059187395,15163996.3313937,29835512.6627874,32292877.934993703,12460391.059187394,14917756.331393698,5
Montenegro,MNE,Men,2019,45.14012595,52.712227600000006,23.34350775,64.131106,11.56560945,Montenegro,Upper middle income,480000,620000,"Nursing and midwifery personnel (per 10,000)",Montenegro,2022.0,Europe,59.93,"Pharmacists  (per 10,000)",Montenegro,2022.0,Europe,2.38,,,,,,Physician per 1000,Montenegro,2021.0,27.68,0.0,89.99,23.794365929690663,10.53728879949801,28.948862021528008,34.60283715050199,62.31,89.99,216672.60456,2600071.25472,1300035.62736,650017.81368,531456.0,265728.0,1196352.0,598176.0,1727808.0000000005,863904.0000000002,2068615.25472,2334343.25472,1403719.25472,2001895.25472,872263.2547199996,1736167.25472,768579.62736,1034307.62736,118561.81368000002,384289.81368,103683.62736000004,701859.62736,-546334.18632,51841.81368000002,-427772.3726400004,436131.6273599998,-1077790.1863200003,-213886.1863200002,2
Lebanon,LBN,Men,2019,38.1540364,49.11981375,27.3947857,55.1163486,15.18720355,Lebanon,Upper middle income,5000000,6700000,"Nursing and midwifery personnel (per 10,000)",Lebanon,2018.0,Eastern Mediterranean,19.29,"Pharmacists  (per 10,000)",Lebanon,2018.0,Eastern Mediterranean,14.9,,,,,,Physician per 1000,Lebanon,2019.0,26.17,0.0,60.36,18.741191617787205,10.452216507679996,21.02911170719489,27.701819892320007,34.19,60.36,1907701.82,22892421.84,11446210.92,5723105.46,5234000.000000001,2617000.0000000005,6838000.0,3419000.0,12072000.0,6036000.0,17658421.84,20275421.84,16054421.84,19473421.84,10820421.84,16856421.84,6212210.919999999,8829210.92,489105.45999999903,3106105.4599999995,4608210.92,8027210.92,-1114894.54,2304105.46,-625789.0800000001,5410210.92,-6348894.54,-312894.54000000004,4
Lesotho,LSO,Men,2019,39.41916135,40.219526300000005,17.35942125,50.8272716,20.7495201,Lesotho,Lower middle income,1400000,2300000,"Nursing and midwifery personnel (per 10,000)",Lesotho,2018.0,Africa,31.24,"Pharmacists  (per 10,000)",Lesotho,2022.0,Africa,0.87,Community Health Workers (number),Lesotho,2022.0,Africa,9196.0,Physician per 1000,Lesotho,2018.0,4.54,39.982608695652175,76.63260869565218,15.854199966402687,6.842938271963686,20.035684201806724,32.57622307803631,72.09260869565217,76.63260869565218,551868.2588999999,6622419.106799999,3311209.5534,1655604.7766999998,254240.0,127120.0,4037186.086956523,2018593.0434782607,4291426.086956522,2145713.043478261,6368179.106799999,6495299.106799999,2585233.0198434764,4603826.063321738,2330993.019843477,4476706.063321738,3056969.5534,3184089.5534,1401364.7766999998,1528484.7766999998,-725976.5335565233,1292616.5099217382,-2381581.310256523,-362988.2667782616,-980216.5335565228,1165496.5099217384,-2635821.3102565226,-490108.2667782614,3
Liberia,LBR,Men,2019,39.35777875,26.15384385,8.3110321,41.2665181,30.14096675,Liberia,Low income,2900000,5400000,"Nursing and midwifery personnel (per 10,000)",Liberia,2022.0,Africa,7.94,"Pharmacists  (per 10,000)",Liberia,2022.0,Africa,0.32,Community Health Workers (number),Liberia,2020.0,Africa,12625.0,Physician per 1000,Liberia,2018.0,0.5,23.37962962962963,32.13962962962963,10.293571997103484,3.2710376257594787,16.241584891626704,36.086741124240525,31.63962962962963,32.13962962962963,1141375.58375,13696507.005,6848253.5025,3424126.75125,58000.0,29000.0,3670197.037037037,1835098.518518519,3728197.037037037,1864098.518518519,13638507.005,13667507.005,10026309.967962962,11861408.48648148,9968309.967962962,11832408.48648148,6790253.5025,6819253.5025,3366126.75125,3395126.75125,3178056.465462962,5013154.983981481,-246070.2857870376,1589028.232731481,3120056.465462962,4984154.983981481,-304070.2857870376,1560028.232731481,3
